,equity
2025-08-09 20:53:00+00:00,10000.0
2025-08-10 08:08:00+00:00,9997.899499515632
2025-08-10 13:50:00+00:00,9996.178173378454
2025-08-10 17:17:00+00:00,9994.193557432587
2025-08-10 20:51:00+00:00,9992.530361633419
2025-08-11 12:30:00+00:00,9989.954753642041
2025-08-11 16:31:00+00:00,9987.888032670766
2025-08-11 18:26:00+00:00,9988.696770944485
2025-08-11 20:03:00+00:00,9985.810555871078
2025-08-12 11:20:00+00:00,9983.720246776935
2025-08-12 14:12:00+00:00,9980.689666357504
2025-08-12 17:26:00+00:00,9978.968548280624
2025-08-14 07:51:00+00:00,9976.497282709257
2025-08-14 12:30:00+00:00,9974.740931001837
2025-08-14 16:09:00+00:00,9972.735107042165
2025-08-17 23:17:00+00:00,9970.5926546297
2025-08-18 07:31:00+00:00,9968.656582101885
2025-08-18 09:41:00+00:00,9968.151978658458
2025-08-18 12:54:00+00:00,9966.446229256355
2025-08-18 16:02:00+00:00,9964.790835863887
2025-08-18 18:00:00+00:00,9963.078952237824
2025-08-19 00:00:00+00:00,9961.379284960256
2025-08-19 08:11:00+00:00,9959.41074489238
2025-08-19 08:59:00+00:00,9957.750747631662
2025-08-19 09:33:00+00:00,9956.344254562848
2025-08-19 11:26:00+00:00,9954.595502870678
2025-08-19 15:42:00+00:00,9952.77273907419
2025-08-19 17:45:00+00:00,9951.274580407216
2025-08-19 17:50:00+00:00,9949.897931182777
2025-08-19 19:58:00+00:00,9948.012605061616
2025-08-19 22:11:00+00:00,9946.4148410868
2025-08-20 08:06:00+00:00,9944.537659630701
2025-08-20 12:17:00+00:00,9944.586945413763
2025-08-26 20:17:00+00:00,9949.373852771138
2025-08-27 13:46:00+00:00,9947.590394898007
2025-08-27 15:42:00+00:00,9947.447674286534
2025-08-27 19:11:00+00:00,9947.276993305199
2025-08-28 13:58:00+00:00,9947.939403389426
2025-08-28 17:28:00+00:00,9948.554108224562
2025-08-28 23:50:00+00:00,9946.788023697207
2025-08-29 07:17:00+00:00,9944.962300247093
2025-08-29 09:01:00+00:00,9943.052585146006
2025-08-29 09:59:00+00:00,9941.11396143244
2025-08-29 13:36:00+00:00,9941.388382311952
2025-08-29 16:01:00+00:00,9943.504038219982
2025-08-29 18:04:00+00:00,9941.632425533131
2025-08-29 20:07:00+00:00,9941.837335457463
2025-08-29 20:48:00+00:00,9939.89638815497
2025-08-31 08:28:00+00:00,9937.503640145509
2025-08-31 13:10:00+00:00,9935.53681754616
2025-08-31 14:31:00+00:00,9933.969941789814
2025-08-31 19:30:00+00:00,9932.0872667179
2025-08-31 22:00:00+00:00,9930.357876515314
2025-09-01 09:01:00+00:00,9928.364169832497
2025-09-01 10:01:00+00:00,9926.54172436088
2025-09-01 23:46:00+00:00,9927.405136322946
2025-09-02 07:24:00+00:00,9925.080625005678
2025-09-02 07:44:00+00:00,9925.380073746106
2025-09-02 08:56:00+00:00,9923.023660063933
2025-09-02 12:43:00+00:00,9920.731432302235
2025-09-02 14:42:00+00:00,9921.81954836386
2025-09-03 12:57:00+00:00,9925.960020489609
2025-09-03 13:33:00+00:00,9923.904831948219
2025-09-03 20:55:00+00:00,9921.477760590535
2025-09-03 23:07:00+00:00,9919.815721743014
2025-09-04 10:54:00+00:00,9917.75143398681
2025-09-04 14:04:00+00:00,9915.61804646027
2025-09-05 12:33:00+00:00,9917.45195453466
2025-09-05 14:29:00+00:00,9913.957161996956
2025-09-05 17:05:00+00:00,9911.64579770514
2025-09-05 20:52:00+00:00,9909.224741387206
2025-09-06 07:43:00+00:00,9908.94613459526
2025-09-06 10:25:00+00:00,9907.043924308751
2025-09-06 13:36:00+00:00,9905.413357632626
2025-09-06 16:16:00+00:00,9905.554775967948
2025-09-06 19:27:00+00:00,9903.851258336048
2025-09-06 20:30:00+00:00,9901.988458557833
2025-09-06 21:50:00+00:00,9900.063265236713
2025-09-07 08:06:00+00:00,9898.20756707261
2025-09-07 10:38:00+00:00,9896.157010386125
2025-09-07 18:29:00+00:00,9894.332019102907
2025-09-07 19:45:00+00:00,9892.402233262032
2025-09-07 21:23:00+00:00,9890.356846616149
2025-09-08 10:35:00+00:00,9887.997381898367
2025-09-08 11:06:00+00:00,9886.33646208515
2025-09-08 13:45:00+00:00,9886.718973060657
2025-09-08 22:34:00+00:00,9884.242457270235
2025-09-09 15:15:00+00:00,9881.275770653649
2025-09-09 20:56:00+00:00,9877.892566883307
2025-09-10 12:30:00+00:00,9878.239775853268
2025-09-10 15:10:00+00:00,9876.001188540278
2025-09-10 18:55:00+00:00,9874.067546798642
2025-09-10 22:16:00+00:00,9872.339539714272
2025-09-11 09:01:00+00:00,9870.294279975027
2025-09-11 11:41:00+00:00,9868.418584279063
2025-09-11 13:36:00+00:00,9865.605398859334
2025-09-12 04:21:00+00:00,9867.291379459954
2025-09-12 08:11:00+00:00,9865.364162043032
2025-09-12 08:49:00+00:00,9863.446193323969
2025-09-12 22:43:00+00:00,9861.18017631904
2025-09-13 08:46:00+00:00,9859.180830957084
2025-09-13 14:05:00+00:00,9857.2220645752
2025-09-13 21:29:00+00:00,9855.302255042894
2025-09-14 11:38:00+00:00,9853.331426215163
2025-09-14 12:53:00+00:00,9851.231624253964
2025-09-14 22:20:00+00:00,9849.04937326819
2025-09-15 08:46:00+00:00,9847.331703672333
2025-09-15 09:23:00+00:00,9845.43530059479
2025-09-15 12:21:00+00:00,9843.754403800242
2025-09-16 06:57:00+00:00,9847.741042447544
2025-09-16 12:30:00+00:00,9845.974154561882
2025-09-16 15:05:00+00:00,9843.232250607432
2025-09-16 17:07:00+00:00,9841.518932971703
2025-09-16 23:16:00+00:00,9841.162675614956
2025-09-17 10:48:00+00:00,9839.401566593107
2025-09-17 11:54:00+00:00,9837.662228836429
2025-09-17 14:17:00+00:00,9838.083758654222
2025-09-17 15:29:00+00:00,9836.263531114657
2025-09-17 17:16:00+00:00,9834.172683413339
2025-09-17 18:21:00+00:00,9831.821476442947
2025-09-17 21:48:00+00:00,9830.04497295417
2025-09-18 09:47:00+00:00,9827.877759269933
2025-09-18 11:29:00+00:00,9826.080769875016
2025-09-18 12:59:00+00:00,9824.043924278689
2025-09-18 23:32:00+00:00,9822.246987164837
2025-09-19 14:56:00+00:00,9822.721390960292
2025-09-19 16:22:00+00:00,9820.91528607306
2025-09-19 19:51:00+00:00,9820.876610828213
2025-09-21 10:09:00+00:00,9818.780645179724
2025-09-22 06:25:00+00:00,9819.898123854744
2025-09-22 10:53:00+00:00,9820.3055599688
2025-09-22 11:35:00+00:00,9818.54492716444
2025-09-22 12:17:00+00:00,9816.569099688999
2025-09-22 13:34:00+00:00,9814.306805439845
2025-09-22 17:50:00+00:00,9815.72294229118
2025-09-22 20:47:00+00:00,9815.435131585928
2025-09-22 22:12:00+00:00,9813.180542130995
2025-09-23 08:40:00+00:00,9813.044895027646
2025-09-24 02:23:00+00:00,9807.758084005438
2025-09-24 07:16:00+00:00,9806.08851841026
2025-09-24 08:11:00+00:00,9804.242261799616
2025-09-24 13:31:00+00:00,9802.412453628132
2025-09-24 22:25:00+00:00,9802.42394297808
2025-09-25 07:14:00+00:00,9800.87613200623
2025-09-25 08:03:00+00:00,9800.84617482641
2025-09-25 11:03:00+00:00,9798.327302417389
2025-09-25 12:36:00+00:00,9795.570102260965
2025-09-25 13:38:00+00:00,9793.180191480575
2025-09-25 16:44:00+00:00,9791.406434362149
2025-09-25 18:35:00+00:00,9791.339100279773
2025-09-25 19:31:00+00:00,9788.95212876224
2025-09-25 22:08:00+00:00,9786.964759432014
2025-09-26 10:40:00+00:00,9785.234779542487
2025-09-26 13:10:00+00:00,9785.844937504142
2025-09-26 23:36:00+00:00,9781.789202454424
2025-09-27 10:25:00+00:00,9780.206273757416
2025-09-27 13:36:00+00:00,9779.916739037262
2025-09-27 19:34:00+00:00,9777.77597694613
2025-09-28 12:17:00+00:00,9775.837443486547
2025-09-28 13:36:00+00:00,9773.996094569447
2025-09-28 14:51:00+00:00,9772.692202040334
2025-09-28 20:02:00+00:00,9770.982801817812
2025-09-29 07:27:00+00:00,9768.854631654227
2025-09-29 21:15:00+00:00,9770.218178396224
2025-09-30 11:15:00+00:00,9767.705445013877
2025-09-30 14:06:00+00:00,9768.54164507221
2025-09-30 18:06:00+00:00,9766.857062771609
2025-09-30 23:11:00+00:00,9767.007601480704
2025-10-01 08:20:00+00:00,9767.633973380323
2025-10-01 09:22:00+00:00,9765.36064644196
2025-10-01 11:09:00+00:00,9763.587685890348
2025-10-01 12:26:00+00:00,9761.036850956196
