,equity
2025-08-11 00:10:00+00:00,10000.0
2025-08-11 14:35:00+00:00,9998.174234837741
2025-08-11 20:55:00+00:00,9996.12434589878
2025-08-12 06:20:00+00:00,9994.976666912135
2025-08-12 11:00:00+00:00,9992.83396619575
2025-08-12 14:10:00+00:00,9990.73543034499
2025-08-13 00:15:00+00:00,9990.220864522726
2025-08-13 05:40:00+00:00,9989.313610258914
2025-08-13 08:45:00+00:00,9990.613085010602
2025-08-13 12:05:00+00:00,9989.60115826406
2025-08-13 17:40:00+00:00,9987.940789046055
2025-08-14 00:10:00+00:00,9989.057790269908
2025-08-14 07:35:00+00:00,9988.131346479164
2025-08-14 12:30:00+00:00,9986.47373656774
2025-08-14 20:10:00+00:00,9986.04146248077
2025-08-15 05:00:00+00:00,9987.468318568823
2025-08-15 08:25:00+00:00,9986.535572825745
2025-08-15 10:25:00+00:00,9985.589008664401
2025-08-17 22:00:00+00:00,9984.956385577827
2025-08-19 13:10:00+00:00,9982.876204395747
2025-08-20 02:40:00+00:00,9982.205054295104
2025-08-20 11:15:00+00:00,9983.982010384247
2025-08-22 12:30:00+00:00,9980.554128478845
2025-08-22 14:00:00+00:00,9983.521949871758
2025-08-24 22:10:00+00:00,9982.466091333428
2025-08-25 00:00:00+00:00,9981.953500672196
2025-08-25 08:25:00+00:00,9981.399147800572
2025-08-25 13:00:00+00:00,9980.949917899217
2025-08-25 23:10:00+00:00,9979.345513354847
2025-08-26 00:20:00+00:00,9980.750201771401
2025-08-26 07:15:00+00:00,9979.912303307276
2025-08-28 09:00:00+00:00,9983.248979820079
2025-08-28 13:50:00+00:00,9984.792507922766
2025-08-29 15:00:00+00:00,9989.385832559536
2025-08-29 17:45:00+00:00,9988.367785685377
2025-09-01 01:05:00+00:00,9987.708319679377
2025-09-01 01:55:00+00:00,9988.980973272333
2025-09-02 19:35:00+00:00,9998.795900603487
2025-09-04 03:10:00+00:00,9996.21445442196
2025-09-04 10:05:00+00:00,9997.84496907965
2025-09-04 14:00:00+00:00,9996.172985925012
2025-09-05 12:30:00+00:00,10000.490321859923
2025-09-15 15:50:00+00:00,10012.393164055906
2025-09-16 02:45:00+00:00,10011.645216499519
2025-09-16 05:45:00+00:00,10011.028460670792
2025-09-16 08:10:00+00:00,10012.409846741693
2025-09-16 13:00:00+00:00,10010.904060334917
2025-09-16 15:05:00+00:00,10008.617022882936
2025-09-17 01:25:00+00:00,10008.046340486584
2025-09-17 06:30:00+00:00,10006.596398891134
