symbol,timeframe,filter_mode,volume_filter,session_filter,trades,wins,wr,pf,net,net_pct,final_capital,max_dd_usd,max_dd_pct,total_fees,tp_hits,sl_hits
XAUUSD,1m,volume_only,True,False,1824,583,31.962719298245613,1.0071078689914308,10.356084604456555,0.10356084604456554,10010.356084604457,-135.09367398707946,-1.334968476042359,0.0,583,1240
XAUUSD,1m,volume_candle_any,True,False,1741,559,32.10798391728891,1.0092864205503416,12.843866951063319,0.12843866951063318,10012.843866951063,-131.8567903036892,-1.303403899791635,0.0,559,1181
XAUUSD,5m,volume_only,True,False,423,164,38.77068557919622,1.2154859814096088,145.90723091358814,1.4590723091358815,10145.907230913588,-77.37156997016791,-0.7641675500462013,0.0,163,259
XAUUSD,5m,volume_candle_any,True,False,375,137,36.53333333333333,1.1157628233045846,72.35624920328883,0.7235624920328882,10072.356249203289,-80.38130740476117,-0.7971825817554744,0.0,137,237
XAUUSD,5m,candle_engulfing,True,False,121,43,35.53719008264463,1.106176243832236,18.62252125397208,0.18622521253972082,10018.622521253972,-66.96098877140685,-0.6647021134462052,0.0,43,78
XAUUSD,5m,candle_hammer,True,False,15,6,40.0,1.6550291277484799,10.810971733129918,0.10810971733129918,10010.81097173313,-7.998754182883204,-0.07991075794189947,0.0,6,9
XAUUSD,5m,candle_pin_bar,True,False,3,2,66.66666666666666,3.373053436255416,3.8719276548599737,0.03871927654859974,10003.87192765486,-1.631622615701417,-0.016316226157014172,0.0,2,1
XAUUSD,5m,candle_strong_bull,True,False,352,128,36.36363636363637,1.1296469785538612,75.46041940066607,0.7546041940066607,10075.460419400666,-61.90997171773779,-0.6147034793398273,0.0,128,223
PAXGUSDT,1m,volume_only,True,False,1853,408,22.018348623853214,0.23832400758463185,-2339.4112700611586,-23.394112700611586,7660.588729938841,-2339.4112700611586,-23.394112700611586,1636.5286936861114,461,1391
PAXGUSDT,1m,volume_candle_any,True,False,1828,393,21.49890590809628,0.23315762155143327,-2317.278017587455,-23.17278017587455,7682.721982412545,-2317.278017587455,-23.17278017587455,1617.9195695506899,449,1378
PAXGUSDT,5m,volume_only,True,False,469,144,30.703624733475483,0.501053693044395,-555.2105025854435,-5.552105025854435,9444.789497414557,-568.3603084422775,-5.683603084422775,457.43629115762826,147,321
PAXGUSDT,5m,volume_candle_any,True,False,460,135,29.347826086956523,0.4764821632214177,-568.0548135437311,-5.680548135437311,9431.945186456269,-581.1867365038088,-5.811867365038088,447.9594271011641,139,320
