entry_time,direction,exit_time,pnl,legs,exit_hit
2025-08-12 07:52:00+00:00,long,2025-08-12 07:52:00+00:00,-0.7883470153049816,remainder,sl
2025-08-12 10:23:00+00:00,long,2025-08-12 10:24:00+00:00,-0.8047132885746174,remainder,sl
2025-08-13 16:23:00+00:00,long,2025-08-13 16:23:00+00:00,-0.7502501972998076,remainder,ema21_close
2025-08-14 11:08:00+00:00,long,2025-08-14 11:08:00+00:00,-0.7837242721356236,remainder,ema21_close
2025-08-14 15:30:00+00:00,short,2025-08-14 15:30:00+00:00,-0.7629144555703467,remainder,ema21_close
2025-08-14 15:32:00+00:00,short,2025-08-14 15:33:00+00:00,-0.807947087942166,remainder,ema21_close
2025-08-14 16:31:00+00:00,short,2025-08-14 16:35:00+00:00,-0.8290654515368875,remainder,sl
2025-08-15 08:09:00+00:00,long,2025-08-15 08:09:00+00:00,-0.7820679052943462,remainder,sl
2025-08-15 14:16:00+00:00,long,2025-08-15 14:17:00+00:00,-0.7977719854182928,remainder,sl
2025-08-20 15:38:00+00:00,short,2025-08-20 15:40:00+00:00,-0.7844051974953565,remainder,sl
2025-08-21 12:43:00+00:00,long,2025-08-21 12:43:00+00:00,-0.728090809254946,remainder,sl
2025-08-22 09:09:00+00:00,long,2025-08-22 09:25:00+00:00,-0.7669696143373882,remainder,sl
2025-08-26 14:28:00+00:00,long,2025-08-26 14:28:00+00:00,-0.7548531595198162,remainder,sl
2025-08-27 14:37:00+00:00,long,2025-08-27 14:37:00+00:00,-0.7577353380314183,remainder,ema21_close
2025-08-30 10:10:00+00:00,long,2025-08-30 10:16:00+00:00,-0.7854805730863287,remainder,sl
2025-09-01 15:25:00+00:00,long,2025-09-01 15:26:00+00:00,-0.7630288911288229,remainder,sl
2025-09-02 09:36:00+00:00,long,2025-09-02 09:38:00+00:00,-0.7643732929589235,remainder,sl
2025-09-02 10:23:00+00:00,long,2025-09-02 10:23:00+00:00,-0.7956750451581007,remainder,sl
2025-09-02 18:08:00+00:00,long,2025-09-02 18:19:00+00:00,-0.7619266538974744,remainder,ema21_close
2025-09-02 19:26:00+00:00,long,2025-09-02 19:29:00+00:00,-0.7884759373901766,remainder,sl
