,equity
2025-08-09 21:32:00+00:00,10000.0
2025-08-10 08:51:00+00:00,10000.931159645
2025-08-10 08:53:00+00:00,10001.891951299624
2025-08-10 08:55:00+00:00,10002.882383574462
2025-08-10 08:57:00+00:00,10003.872913926354
2025-08-10 08:59:00+00:00,10004.833988195956
2025-08-10 09:01:00+00:00,10005.824711804506
2025-08-10 15:57:00+00:00,10003.557812041103
2025-08-11 18:05:00+00:00,9983.007975263272
2025-08-11 18:07:00+00:00,9962.989627744599
2025-08-11 18:11:00+00:00,9957.28153340357
2025-08-11 20:18:00+00:00,9952.986423763368
2025-08-12 15:57:00+00:00,9950.044962854625
2025-08-15 16:45:00+00:00,9947.920436606295
2025-08-15 16:58:00+00:00,9945.826252525363
2025-08-16 07:40:00+00:00,9943.717779006742
2025-08-17 09:51:00+00:00,9941.639421304812
2025-08-17 09:55:00+00:00,9939.621228640777
2025-08-17 10:13:00+00:00,9939.111319769794
2025-08-17 10:13:00+00:00,9938.183386348379
2025-08-17 11:45:00+00:00,9935.434771551963
2025-08-17 11:51:00+00:00,9932.6869169431
2025-08-17 12:35:00+00:00,9930.90935020514
2025-08-17 12:51:00+00:00,9928.848548196898
2025-08-17 13:58:00+00:00,9926.147608113279
2025-08-17 14:00:00+00:00,9923.447402765143
2025-08-17 14:02:00+00:00,9920.837268354237
2025-08-17 19:10:00+00:00,9918.808406081163
2025-08-17 20:19:00+00:00,9916.794837014291
2025-08-17 21:57:00+00:00,9914.960343725572
2025-08-18 21:49:00+00:00,9907.152219932697
2025-08-18 21:51:00+00:00,9906.640791539672
2025-08-18 21:51:00+00:00,9898.898140936362
2025-08-18 21:55:00+00:00,9895.702020720248
2025-08-18 21:58:00+00:00,9887.805369059617
2025-08-18 22:00:00+00:00,9882.694325197685
2025-08-20 09:29:00+00:00,9880.09285575877
2025-08-20 09:35:00+00:00,9877.506944663004
2025-08-20 09:37:00+00:00,9874.921710376282
2025-08-20 09:39:00+00:00,9872.337152721462
2025-08-20 09:41:00+00:00,9869.768133481257
2025-08-20 09:45:00+00:00,9867.199782761561
2025-08-20 09:48:00+00:00,9864.63210038841
2025-08-20 09:50:00+00:00,9862.079936637843
2025-08-20 20:28:00+00:00,9861.067476718052
2025-08-20 21:12:00+00:00,9859.169062160257
2025-08-20 21:34:00+00:00,9857.034909717773
2025-08-20 21:38:00+00:00,9855.033995674232
2025-08-21 08:25:00+00:00,9852.63461923697
2025-08-21 08:27:00+00:00,9850.250593499586
2025-08-21 08:29:00+00:00,9847.867144620976
2025-08-21 08:31:00+00:00,9845.484272461557
2025-08-21 08:42:00+00:00,9843.08725955861
2025-08-22 17:40:00+00:00,9841.00148837309
2025-08-22 18:00:00+00:00,9838.901532953938
2025-08-22 18:09:00+00:00,9837.533842343457
2025-08-23 13:34:00+00:00,9835.551689536838
2025-08-23 13:39:00+00:00,9831.915237447736
2025-08-24 07:25:00+00:00,9829.831860796196
2025-08-24 08:00:00+00:00,9827.792794788389
2025-08-24 19:36:00+00:00,9825.98808878812
2025-08-25 08:18:00+00:00,9825.472463398659
2025-08-25 08:18:00+00:00,9824.795774428274
2025-08-25 12:27:00+00:00,9823.371551053915
2025-08-25 12:30:00+00:00,9821.187727831331
2025-08-25 20:49:00+00:00,9820.673836648568
2025-08-25 20:49:00+00:00,9818.43124980105
2025-08-26 16:07:00+00:00,9817.90855030829
2025-08-26 16:10:00+00:00,9815.93030863654
2025-08-26 16:15:00+00:00,9813.894363356272
2025-08-26 16:17:00+00:00,9811.189594384332
2025-08-26 20:34:00+00:00,9806.090801433455
2025-08-26 21:06:00+00:00,9803.259350487795
2025-08-26 21:10:00+00:00,9800.414220032
2025-08-26 21:15:00+00:00,9797.584408165776
2025-08-26 21:17:00+00:00,9794.755413391056
2025-08-26 21:19:00+00:00,9791.92723547191
2025-08-26 21:21:00+00:00,9789.099874172476
2025-08-26 21:23:00+00:00,9786.273329256961
2025-08-26 21:25:00+00:00,9783.447600489637
2025-08-26 21:27:00+00:00,9780.622687634846
2025-08-26 21:29:00+00:00,9777.798590457
2025-08-26 21:31:00+00:00,9774.975308720574
2025-08-26 21:33:00+00:00,9772.138386941686
2025-08-26 21:35:00+00:00,9769.316739555677
2025-08-27 10:12:00+00:00,9763.172234849737
2025-08-27 17:12:00+00:00,9761.522588834607
2025-08-27 17:14:00+00:00,9759.31065452857
2025-08-28 11:51:00+00:00,9756.468841995571
2025-08-28 11:59:00+00:00,9751.303225322143
2025-08-28 12:01:00+00:00,9749.037386645086
2025-08-28 15:00:00+00:00,9747.845706641225
2025-08-28 17:06:00+00:00,9745.853318221478
2025-08-29 08:42:00+00:00,9743.333315458314
2025-08-30 11:31:00+00:00,9730.3651650219
2025-08-30 11:40:00+00:00,9728.390949036877
2025-08-30 12:43:00+00:00,9727.835850610483
2025-08-30 12:43:00+00:00,9727.43526104669
2025-08-30 19:35:00+00:00,9725.461675550076
2025-08-30 19:38:00+00:00,9723.474444221385
2025-08-30 19:40:00+00:00,9721.48761894934
2025-08-30 19:43:00+00:00,9719.501199650973
2025-08-30 21:32:00+00:00,9717.529235641467
2025-08-31 17:06:00+00:00,9715.361641831454
2025-09-01 13:45:00+00:00,9714.421023637951
2025-09-01 19:28:00+00:00,9710.38996398065
2025-09-03 11:40:00+00:00,9707.970958356002
2025-09-03 13:32:00+00:00,9704.955727436965
2025-09-04 18:22:00+00:00,9702.154084381584
2025-09-05 21:20:00+00:00,9697.570597348153
2025-09-06 12:50:00+00:00,9694.04596057388
2025-09-06 12:57:00+00:00,9693.436577485378
2025-09-06 12:57:00+00:00,9692.276623990329
2025-09-11 21:36:00+00:00,9686.342526401715
2025-09-11 21:38:00+00:00,9680.4120619651
