entry_time,exit_time,direction,leg,pnl,exit_hit
2025-08-10 08:51:00+00:00,2025-08-10 08:51:00+00:00,long,full,0.9311596450011468,init_sl
2025-08-10 08:53:00+00:00,2025-08-10 08:53:00+00:00,long,full,0.9607916546224731,init_sl
2025-08-10 08:55:00+00:00,2025-08-10 08:55:00+00:00,long,full,0.9904322748381391,init_sl
2025-08-10 08:57:00+00:00,2025-08-10 08:57:00+00:00,long,full,0.9905303518915423,init_sl
2025-08-10 08:59:00+00:00,2025-08-10 08:59:00+00:00,long,full,0.9610742696028547,init_sl
2025-08-10 09:01:00+00:00,2025-08-10 09:01:00+00:00,long,full,0.9907236085488087,init_sl
2025-08-10 15:57:00+00:00,2025-08-10 15:57:00+00:00,long,remainder,-2.2668997634034964,ema21_close
2025-08-11 18:05:00+00:00,2025-08-11 18:05:00+00:00,long,remainder,-20.549836777830826,runner_resistance
2025-08-11 18:07:00+00:00,2025-08-11 18:07:00+00:00,long,remainder,-20.018347518672797,runner_resistance
2025-08-11 18:10:00+00:00,2025-08-11 18:11:00+00:00,long,full,-5.708094341029633,init_sl
2025-08-11 20:18:00+00:00,2025-08-11 20:18:00+00:00,short,remainder,-4.295109640200988,runner_support
2025-08-12 15:56:00+00:00,2025-08-12 15:57:00+00:00,long,remainder,-2.9414609087443635,ema21_close
2025-08-15 16:44:00+00:00,2025-08-15 16:45:00+00:00,short,remainder,-2.1245262483293836,ema21_close
2025-08-15 16:51:00+00:00,2025-08-15 16:58:00+00:00,short,remainder,-2.094184080931772,ema21_close
2025-08-16 07:29:00+00:00,2025-08-16 07:40:00+00:00,long,remainder,-2.1084735186209915,ema21_close
2025-08-17 09:46:00+00:00,2025-08-17 09:51:00+00:00,short,remainder,-2.0783577019306185,ema21_close
2025-08-17 09:55:00+00:00,2025-08-17 09:55:00+00:00,short,remainder,-2.0181926640342236,ema21_close
2025-08-17 09:57:00+00:00,2025-08-17 10:13:00+00:00,short,partial,-0.5099088709822499,partial_tp
2025-08-17 09:57:00+00:00,2025-08-17 10:13:00+00:00,short,remainder,-0.9279334214158261,runner_support
2025-08-17 11:45:00+00:00,2025-08-17 11:45:00+00:00,long,remainder,-2.7486147964163576,runner_resistance
2025-08-17 11:51:00+00:00,2025-08-17 11:51:00+00:00,long,remainder,-2.7478546088644302,runner_resistance
2025-08-17 12:34:00+00:00,2025-08-17 12:35:00+00:00,short,remainder,-1.7775667379600961,runner_support
2025-08-17 12:50:00+00:00,2025-08-17 12:51:00+00:00,short,remainder,-2.060802008241124,ema21_close
2025-08-17 13:58:00+00:00,2025-08-17 13:58:00+00:00,long,remainder,-2.7009400836192943,runner_resistance
2025-08-17 14:00:00+00:00,2025-08-17 14:00:00+00:00,long,remainder,-2.700205348136132,runner_resistance
2025-08-17 14:02:00+00:00,2025-08-17 14:02:00+00:00,long,remainder,-2.6101344109070053,runner_resistance
2025-08-17 19:10:00+00:00,2025-08-17 19:10:00+00:00,long,remainder,-2.028862273072835,ema21_close
2025-08-17 20:19:00+00:00,2025-08-17 20:19:00+00:00,short,remainder,-2.0135690668725106,ema21_close
2025-08-17 21:50:00+00:00,2025-08-17 21:57:00+00:00,long,remainder,-1.834493288718715,runner_resistance
2025-08-18 21:49:00+00:00,2025-08-18 21:49:00+00:00,long,remainder,-7.808123792875289,runner_resistance
2025-08-18 21:51:00+00:00,2025-08-18 21:51:00+00:00,long,partial,-0.511428393025539,partial_tp
2025-08-18 21:51:00+00:00,2025-08-18 21:51:00+00:00,long,remainder,-7.742650603310548,runner_resistance
2025-08-18 21:55:00+00:00,2025-08-18 21:55:00+00:00,long,remainder,-3.196120216115226,ema21_close
2025-08-18 21:58:00+00:00,2025-08-18 21:58:00+00:00,long,remainder,-7.896651660630008,runner_resistance
2025-08-18 22:00:00+00:00,2025-08-18 22:00:00+00:00,long,full,-5.111043861932492,init_sl
2025-08-20 09:29:00+00:00,2025-08-20 09:29:00+00:00,long,remainder,-2.601469438914849,runner_resistance
