,equity
2025-08-10 23:05:00+00:00,10000.0
2025-08-14 20:35:00+00:00,9998.67471768711
2025-08-25 20:14:00+00:00,9996.883011583841
2025-09-02 19:52:00+00:00,9990.088174674553
2025-09-18 09:41:00+00:00,9982.935987967898
2025-09-18 09:45:00+00:00,9982.285407552254
2025-09-18 09:48:00+00:00,9980.275224326559
2025-09-19 18:47:00+00:00,9978.207343282867
2025-09-22 18:08:00+00:00,9975.532592318586
2025-09-24 20:33:00+00:00,9974.860443489944
2025-09-24 20:33:00+00:00,9973.520134211896
2025-09-30 14:32:00+00:00,9972.808845207992
2025-09-30 14:33:00+00:00,9970.80117739304
2025-09-30 14:36:00+00:00,9970.090242455477
2025-09-30 14:38:00+00:00,9968.083120348301
2025-10-01 08:54:00+00:00,9967.357452413311
2025-10-01 08:55:00+00:00,9967.592351667015
2025-10-10 08:39:00+00:00,9966.836427744118
2025-10-10 08:40:00+00:00,9964.83040831876
2025-10-10 08:43:00+00:00,9964.074613156708
2025-10-10 08:44:00+00:00,9964.46851218258
2025-10-10 09:07:00+00:00,9963.711138928898
2025-10-10 09:08:00+00:00,9966.186086849231
2025-10-20 19:19:00+00:00,9965.322842005198
2025-10-20 19:19:00+00:00,9962.793143762103
2025-10-20 19:27:00+00:00,9961.930230850023
2025-10-20 19:28:00+00:00,9959.926261658475
2025-11-06 08:00:00+00:00,9957.18843970663
2025-11-10 12:48:00+00:00,9956.400558234334
2025-11-10 12:51:00+00:00,9956.877018645142
2025-11-11 09:52:00+00:00,9953.900706710532
2025-11-12 15:56:00+00:00,9953.088972789188
2025-11-12 16:03:00+00:00,9959.77549644472
2025-11-13 19:23:00+00:00,9958.131143678364
2025-11-17 21:26:00+00:00,9955.453726916248
2025-11-17 21:38:00+00:00,9952.601015417576
2025-11-24 19:10:00+00:00,9945.600660321867
2025-11-24 19:12:00+00:00,9940.632579577617
2025-12-02 21:24:00+00:00,9939.81340668716
2025-12-02 21:24:00+00:00,9938.95881095957
2025-12-31 07:33:00+00:00,9938.106526739379
2025-12-31 07:36:00+00:00,9936.107265204035
2026-01-06 12:17:00+00:00,9935.222005684363
2026-01-06 12:19:00+00:00,9933.223653302703
2026-01-08 21:17:00+00:00,9926.82614072064
2026-02-16 17:22:00+00:00,9925.824926100802
2026-02-16 17:29:00+00:00,9926.434139749104
2026-02-25 18:32:00+00:00,9924.229568652414
2026-03-11 18:46:00+00:00,9918.395066303881
2026-03-11 18:49:00+00:00,9913.10598876008
2026-03-16 11:42:00+00:00,9905.56557224672
2026-05-01 14:25:00+00:00,9900.374244773435
2026-05-01 14:28:00+00:00,9899.447932268298
2026-05-01 14:29:00+00:00,9897.457213355265
2026-05-25 10:29:00+00:00,9895.066410207131
2026-06-05 13:16:00+00:00,9888.62155089958
2026-06-05 13:20:00+00:00,9887.752089733454
2026-06-05 13:21:00+00:00,9885.763170846061
2026-06-11 19:58:00+00:00,9873.97136059478
2026-06-11 20:23:00+00:00,9871.773968000978
2026-06-11 20:28:00+00:00,9869.178893927441
2026-06-24 14:30:00+00:00,9868.418967262985
2026-06-24 14:34:00+00:00,9875.960217067235
2026-06-30 07:02:00+00:00,9871.49484447207
2026-06-30 07:05:00+00:00,9865.316026412625
2026-06-30 07:11:00+00:00,9860.975910585004
2026-07-01 12:00:00+00:00,9860.214632258638
2026-07-01 12:01:00+00:00,9858.230205593129
2026-07-15 20:50:00+00:00,9857.459895612046
2026-07-15 20:51:00+00:00,9855.47611486325
2026-07-21 18:55:00+00:00,9852.137572525564
2026-07-27 22:00:00+00:00,9846.069530749857
2026-07-29 20:14:00+00:00,9845.302868880455
2026-07-29 20:16:00+00:00,9848.945564479129
2026-08-03 19:47:00+00:00,9848.17831033053
2026-08-03 19:47:00+00:00,9847.83619480567
