entry_time,exit_time,direction,leg,pnl,exit_hit
2025-08-14 20:32:00+00:00,2025-08-14 20:35:00+00:00,short,remainder,-1.3252823128897506,runner_support
2025-08-25 20:14:00+00:00,2025-08-25 20:14:00+00:00,short,remainder,-1.7917061032694668,runner_support
2025-09-02 19:50:00+00:00,2025-09-02 19:52:00+00:00,long,full,-6.794836909287746,init_sl
2025-09-18 09:41:00+00:00,2025-09-18 09:41:00+00:00,long,full,-7.1521867066556,init_sl
2025-09-18 09:43:00+00:00,2025-09-18 09:45:00+00:00,long,partial,-0.6505804156448418,partial_tp
2025-09-18 09:43:00+00:00,2025-09-18 09:48:00+00:00,long,remainder,-2.0101832256943717,breakeven
2025-09-19 18:38:00+00:00,2025-09-19 18:47:00+00:00,long,remainder,-2.0678810436917696,ema21_close
2025-09-22 18:08:00+00:00,2025-09-22 18:08:00+00:00,long,remainder,-2.674750964280211,ema21_close
2025-09-24 20:31:00+00:00,2025-09-24 20:33:00+00:00,long,partial,-0.6721488286428248,partial_tp
2025-09-24 20:31:00+00:00,2025-09-24 20:33:00+00:00,long,remainder,-1.3403092780474635,runner_resistance
2025-09-30 14:32:00+00:00,2025-09-30 14:32:00+00:00,long,partial,-0.7112890039049218,partial_tp
2025-09-30 14:32:00+00:00,2025-09-30 14:33:00+00:00,long,remainder,-2.0076678149531446,breakeven
2025-09-30 14:36:00+00:00,2025-09-30 14:36:00+00:00,long,partial,-0.7109349375625325,partial_tp
2025-09-30 14:36:00+00:00,2025-09-30 14:38:00+00:00,long,remainder,-2.007122107175016,breakeven
2025-10-01 08:52:00+00:00,2025-10-01 08:54:00+00:00,long,partial,-0.7256679349908415,partial_tp
2025-10-01 08:52:00+00:00,2025-10-01 08:55:00+00:00,long,remainder,0.23489925370486286,runner_resistance
2025-10-10 08:38:00+00:00,2025-10-10 08:39:00+00:00,long,partial,-0.7559239228981667,partial_tp
2025-10-10 08:38:00+00:00,2025-10-10 08:40:00+00:00,long,remainder,-2.006019425358277,breakeven
2025-10-10 08:42:00+00:00,2025-10-10 08:43:00+00:00,long,partial,-0.7557951620508694,partial_tp
2025-10-10 08:42:00+00:00,2025-10-10 08:44:00+00:00,long,remainder,0.3938990258719901,runner_resistance
2025-10-10 09:07:00+00:00,2025-10-10 09:07:00+00:00,long,partial,-0.757373253682244,partial_tp
2025-10-10 09:07:00+00:00,2025-10-10 09:08:00+00:00,long,remainder,2.474947920332353,runner_resistance
2025-10-20 19:19:00+00:00,2025-10-20 19:19:00+00:00,long,partial,-0.8632448440334544,partial_tp
2025-10-20 19:19:00+00:00,2025-10-20 19:19:00+00:00,long,remainder,-2.5296982430956128,runner_resistance
2025-10-20 19:26:00+00:00,2025-10-20 19:27:00+00:00,long,partial,-0.8629129120800596,partial_tp
2025-10-20 19:26:00+00:00,2025-10-20 19:28:00+00:00,long,remainder,-2.0039691915473425,breakeven
2025-11-06 08:00:00+00:00,2025-11-06 08:00:00+00:00,long,remainder,-2.7378219518448668,ema21_close
2025-11-10 12:48:00+00:00,2025-11-10 12:48:00+00:00,long,partial,-0.7878814722952245,partial_tp
2025-11-10 12:48:00+00:00,2025-11-10 12:51:00+00:00,long,remainder,0.4764604108079855,runner_resistance
2025-11-11 09:52:00+00:00,2025-11-11 09:52:00+00:00,long,remainder,-2.9763119346102718,ema21_close
2025-11-12 15:56:00+00:00,2025-11-12 15:56:00+00:00,long,partial,-0.8117339213443846,partial_tp
2025-11-12 15:56:00+00:00,2025-11-12 16:03:00+00:00,long,remainder,6.686523655530916,runner_resistance
2025-11-13 19:23:00+00:00,2025-11-13 19:23:00+00:00,short,remainder,-1.6443527663556834,ema21_close
2025-11-17 21:26:00+00:00,2025-11-17 21:26:00+00:00,long,remainder,-2.677416762116065,ema21_close
2025-11-17 21:38:00+00:00,2025-11-17 21:38:00+00:00,long,remainder,-2.8527114986715203,ema21_close
2025-11-24 19:07:00+00:00,2025-11-24 19:10:00+00:00,long,full,-7.00035509571002,init_sl
2025-11-24 19:12:00+00:00,2025-11-24 19:12:00+00:00,long,full,-4.968080744249517,init_sl
2025-12-02 21:22:00+00:00,2025-12-02 21:24:00+00:00,long,partial,-0.8191728904569162,partial_tp
2025-12-02 21:22:00+00:00,2025-12-02 21:24:00+00:00,long,remainder,-0.8545957275917331,runner_resistance
2025-12-31 07:33:00+00:00,2025-12-31 07:33:00+00:00,long,partial,-0.8522842201906027,partial_tp
2025-12-31 07:33:00+00:00,2025-12-31 07:36:00+00:00,long,remainder,-1.9992615353436956,breakeven
2026-01-06 12:17:00+00:00,2026-01-06 12:17:00+00:00,long,partial,-0.8852595196719193,partial_tp
2026-01-06 12:17:00+00:00,2026-01-06 12:19:00+00:00,long,remainder,-1.9983523816609403,breakeven
