entry_time,direction,exit_time,pnl,exit_hit
2025-08-16 20:45:00+00:00,long,2025-08-16 20:45:00+00:00,-3.4893493008706296,init_sl
2025-08-16 20:55:00+00:00,long,2025-08-16 20:55:00+00:00,-2.917541928204776,init_sl
2025-08-20 07:05:00+00:00,long,2025-08-20 07:10:00+00:00,1.5323039236067237,partial_tp|runner_resistance
2025-08-23 12:00:00+00:00,long,2025-08-23 12:05:00+00:00,-5.514552567170489,init_sl
2025-08-24 16:40:00+00:00,long,2025-08-24 16:50:00+00:00,-5.24313034283378,init_sl
2025-08-28 12:35:00+00:00,long,2025-08-28 12:35:00+00:00,-9.162505813266003,init_sl
2025-08-31 17:10:00+00:00,long,2025-08-31 17:20:00+00:00,-5.974182514354565,init_sl
2025-09-12 11:15:00+00:00,long,2025-09-12 11:15:00+00:00,-4.998471428039359,init_sl
2025-09-21 21:35:00+00:00,long,2025-09-21 21:35:00+00:00,-2.033340679944048,ema21_close
2025-09-22 16:55:00+00:00,long,2025-09-22 17:05:00+00:00,1.8690880407506227,partial_tp|runner_resistance
2025-09-24 21:45:00+00:00,long,2025-09-24 22:00:00+00:00,-2.682599200709967,partial_tp|breakeven
2025-10-05 11:15:00+00:00,long,2025-10-05 12:15:00+00:00,-2.245435984203236,partial_tp|runner_resistance
2025-10-30 09:50:00+00:00,long,2025-10-30 10:15:00+00:00,-2.7619017500943075,partial_tp|breakeven
2025-12-06 19:55:00+00:00,short,2025-12-06 20:05:00+00:00,-2.5705407009979178,ema21_close
2025-12-07 22:00:00+00:00,long,2025-12-07 22:00:00+00:00,-3.673957177565603,init_sl
2025-12-13 08:25:00+00:00,long,2025-12-13 08:55:00+00:00,-5.063490800247678,init_sl
2025-12-14 11:20:00+00:00,long,2025-12-14 11:20:00+00:00,-3.8525394854574264,runner_resistance
2025-12-14 11:30:00+00:00,long,2025-12-14 11:30:00+00:00,-3.7016143868903395,runner_resistance
2025-12-14 11:40:00+00:00,long,2025-12-14 11:40:00+00:00,-2.6197200686305595,ema21_close
2025-12-14 13:30:00+00:00,long,2025-12-14 13:45:00+00:00,-3.0212360166518755,ema21_close
2025-12-23 17:55:00+00:00,long,2025-12-23 17:55:00+00:00,-7.643108358474301,init_sl
2026-01-04 17:50:00+00:00,long,2026-01-04 17:55:00+00:00,-2.7699099676469157,ema21_close
2026-01-10 09:05:00+00:00,long,2026-01-10 09:05:00+00:00,-3.4780243260082457,runner_resistance
2026-01-12 16:35:00+00:00,long,2026-01-12 16:35:00+00:00,-10.756994440049507,init_sl
2026-01-13 14:35:00+00:00,long,2026-01-13 14:40:00+00:00,-2.913685774263139,partial_tp|breakeven
2026-01-15 11:50:00+00:00,long,2026-01-15 12:10:00+00:00,-2.9126723927985667,partial_tp|breakeven
2026-01-17 17:20:00+00:00,long,2026-01-17 17:20:00+00:00,-4.776614221330276,init_sl
2026-02-18 16:25:00+00:00,long,2026-02-18 16:25:00+00:00,-4.374457649175963,init_sl
2026-02-21 10:00:00+00:00,long,2026-02-21 10:10:00+00:00,-2.1425240701332275,ema21_close
2026-03-02 08:25:00+00:00,long,2026-03-02 08:40:00+00:00,-3.066318097649517,partial_tp|breakeven
2026-03-28 07:05:00+00:00,long,2026-03-28 07:20:00+00:00,-5.665923116433326,init_sl
2026-04-25 17:30:00+00:00,short,2026-04-25 18:00:00+00:00,-5.068111818048589,init_sl
2026-05-01 09:30:00+00:00,short,2026-05-01 09:35:00+00:00,-2.890598042186922,partial_tp|breakeven
2026-05-09 13:15:00+00:00,long,2026-05-09 13:25:00+00:00,-6.299065418359847,init_sl
2026-05-12 21:05:00+00:00,long,2026-05-12 21:15:00+00:00,-5.979095832414708,init_sl
2026-05-17 11:30:00+00:00,long,2026-05-17 12:25:00+00:00,0.2944287285627625,partial_tp|runner_resistance
2026-06-08 12:20:00+00:00,long,2026-06-08 12:30:00+00:00,6.00036119005258,partial_tp|runner_resistance
2026-06-12 10:05:00+00:00,long,2026-06-12 10:05:00+00:00,-44.94534347347067,partial_tp|runner_resistance
2026-06-13 09:35:00+00:00,short,2026-06-13 09:35:00+00:00,-2.5706343474201576,ema21_close
2026-06-13 13:50:00+00:00,long,2026-06-13 14:05:00+00:00,-3.6283509710800437,ema21_close
2026-06-30 08:15:00+00:00,long,2026-06-30 08:15:00+00:00,-3.292165213079651,init_sl
2026-07-05 14:20:00+00:00,short,2026-07-05 15:00:00+00:00,-5.290771215898093,init_sl
2026-07-07 13:10:00+00:00,long,2026-07-07 13:10:00+00:00,-7.2007499606588805,init_sl
2026-07-11 09:35:00+00:00,long,2026-07-11 09:50:00+00:00,-2.634059906040717,partial_tp|runner_resistance
2026-07-11 10:25:00+00:00,long,2026-07-11 10:50:00+00:00,-2.3643019243082883,ema21_close
2026-07-11 14:25:00+00:00,long,2026-07-11 14:25:00+00:00,-3.9182026364821327,init_sl
2026-07-19 09:25:00+00:00,short,2026-07-19 10:00:00+00:00,-0.9001099295826793,partial_tp|runner_support
2026-07-30 09:35:00+00:00,long,2026-07-30 09:40:00+00:00,-2.736280632936323,partial_tp|breakeven
