entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind
2025-08-12 07:45:00+00:00,short,3355.355,2025-08-12 07:45:00+00:00,3356.675,3356.675,3352.685,-1.1802029889536252,SL,aggressive,ob
2025-08-12 07:55:00+00:00,short,3354.548,2025-08-12 08:35:00+00:00,3347.925,3356.245,3347.925,5.923003635660834,TP,aggressive,ob
2025-08-12 15:30:00+00:00,short,3354.589,2025-08-12 16:15:00+00:00,3345.925,3359.698,3345.925,7.7481921034139445,TP,aggressive,ob
2025-08-12 22:05:00+00:00,short,3349.575,2025-08-12 22:15:00+00:00,3351.855,3351.855,3345.925,-2.042050110835136,SL,aggressive,ob
2025-08-13 02:50:00+00:00,short,3352.968,2025-08-13 05:30:00+00:00,3347.925,3354.699,3347.925,4.512121797762161,TP,aggressive,ob
2025-08-13 17:40:00+00:00,long,3354.945,2025-08-13 17:40:00+00:00,3353.455,3353.455,3357.885,-1.3323616333503856,SL,aggressive,ob
2025-08-13 17:45:00+00:00,long,3354.248,2025-08-13 18:00:00+00:00,3352.545,3352.545,3357.885,-1.5231431903663426,SL,aggressive,ob
2025-08-14 18:40:00+00:00,short,3338.215,2025-08-14 18:40:00+00:00,3338.889,3338.889,3335.075,-0.6057129334090028,SL,aggressive,fvg
2025-08-15 13:05:00+00:00,short,3341.645,2025-08-15 13:45:00+00:00,3334.315,3346.305,3334.315,6.5805912956043455,TP,aggressive,ob
2025-08-20 15:30:00+00:00,long,3340.995,2025-08-20 15:50:00+00:00,3338.905,3338.905,3345.165,-1.8766864362260562,SL,aggressive,ob
2025-08-20 16:00:00+00:00,long,3340.555,2025-08-20 16:15:00+00:00,3345.165,3338.205,3345.165,4.140030623653968,TP,aggressive,ob
2025-08-21 12:15:00+00:00,short,3341.425,2025-08-21 12:20:00+00:00,3338.705,3343.085,3338.705,2.4420718705345066,TP,aggressive,ob
2025-09-01 01:05:00+00:00,long,3442.738,2025-09-01 01:05:00+00:00,3441.215,3441.215,3450.098,-1.3271413624850485,SL,aggressive,ob
2025-09-01 15:55:00+00:00,long,3474.455,2025-09-01 16:00:00+00:00,3472.748,3472.748,3479.005,-1.4739002232003697,SL,aggressive,fvg
2025-09-01 16:15:00+00:00,long,3473.635,2025-09-01 22:35:00+00:00,3479.005,3471.675,3479.005,4.637792974794321,TP,aggressive,fvg
2025-09-01 23:05:00+00:00,long,3476.798,2025-09-02 01:10:00+00:00,3485.798,3473.378,3485.798,7.7657660870720715,TP,aggressive,fvg
2025-09-05 07:20:00+00:00,long,3548.905,2025-09-05 07:30:00+00:00,3547.285,3547.285,3551.648,-1.369436488156498,SL,aggressive,fvg
2025-09-05 07:35:00+00:00,long,3549.055,2025-09-05 07:55:00+00:00,3546.625,3546.625,3555.865,-2.054067913852986,SL,aggressive,fvg
2025-09-05 08:00:00+00:00,long,3547.895,2025-09-05 08:15:00+00:00,3545.945,3545.945,3550.879,-1.6488650312366784,SL,aggressive,fvg
2025-09-08 01:15:00+00:00,long,3589.148,2025-09-08 01:15:00+00:00,3584.775,3584.775,3595.939,-3.6551850188401653,SL,aggressive,ob
2025-09-08 01:25:00+00:00,long,3587.875,2025-09-08 02:00:00+00:00,3593.775,3584.025,3593.775,4.93328223530649,TP,aggressive,ob
2025-09-09 14:45:00+00:00,long,3646.145,2025-09-09 15:00:00+00:00,3640.385,3640.385,3655.225,-4.739252004514163,SL,aggressive,ob
