label,wf_trades,wf_wr,wf_expR,wf_pf,wf_dd,wf_ret,ho_trades,ho_pf,ho_ret
base_30/70,48,0.521,0.352,1.665,-0.061,0.178,15,1.3,0.026
rsi_35/65,55,0.455,0.14,1.214,-0.068,0.074,17,1.309,0.033
rsi_40/60,58,0.397,-0.046,0.917,-0.128,-0.032,19,1.338,0.039
rsi7_30/70,69,0.348,-0.142,0.79,-0.125,-0.099,23,0.657,-0.061
rsi7_35/65,73,0.397,-0.017,0.961,-0.107,-0.019,22,1.067,0.01
ema20/50,47,0.489,0.283,1.494,-0.077,0.137,18,0.932,-0.008
ema50/100,48,0.521,0.352,1.665,-0.061,0.178,15,1.3,0.026
ema20/50_35/65,51,0.392,-0.022,0.954,-0.104,-0.016,17,0.452,-0.078
1D+2H_30/70,77,0.338,-0.199,0.7,-0.201,-0.147,30,0.74,-0.053
1D+2H_35/65,100,0.36,-0.112,0.821,-0.188,-0.113,36,0.84,-0.039
tp2_30/70,49,0.551,0.11,1.214,-0.062,0.052,16,0.933,-0.006
stop2_tp4,40,0.4,0.005,0.995,-0.106,-0.001,12,0.333,-0.069
