XAUUSD exit sweep (sorted by net%)
 trades  wins  losses        wr       pf        net   net_pct  max_dd_pct      avg_w       avg_l  sl_hits  tp_hits symbol                          mode
     17    11       6 64.705882 5.410675 888.482091  8.884821   -1.002458  99.083740  -33.573175        6       11 XAUUSD          sl_fib0.75_tp_anchor
     16    11       5 68.750000 5.235400 881.738178  8.817382   -1.176260  99.083740  -41.636592        5       11 XAUUSD           sl_fib0.8_tp_anchor
     18    11       7 61.111111 4.886841 881.619221  8.816192   -1.098336 100.767342  -32.403077        7       11 XAUUSD           sl_fib0.7_tp_anchor
     18    11       7 61.111111 4.671113 871.143841  8.711438   -1.128024 100.767342  -33.899560        7       11 XAUUSD        sl_fib0.7buf_tp_anchor
     18    12       6 66.666667 5.261555 863.847107  8.638471   -1.098336  88.879509  -33.784500        6       12 XAUUSD       sl_fib0.7_tp_anchor0.14
      9     5       4 55.555556 1.851716 752.779332  7.527793   -5.450623 327.323476 -220.959512        3        5 XAUUSD              sl_fib0.7_tp_rr3
     10     6       4 60.000000 2.086766 721.127701  7.211277   -5.238662 230.780226 -165.888414        3        6 XAUUSD              sl_fib0.7_tp_rr2
     13     5       8 38.461538 4.177265 706.722821  7.067228   -1.443361 185.830808  -27.803902        8        5 XAUUSD    sl_fib0.7_tp_anchor_minRR2
     13     5       8 38.461538 4.167606 704.574511  7.045745   -1.443361 185.401145  -27.803902        8        5 XAUUSD  sl_fib0.7_tp_anchor_minRR1.5
     24     9      15 37.500000 1.645162 243.352829  2.433528   -2.361650  68.949924  -25.146432       15        9 XAUUSD        sl_swing0.25_tp_anchor
     24    10      14 41.666667 1.438412 203.897924  2.038979   -2.959929  66.898097  -33.220218       14       10 XAUUSD        sl_swing0.50_tp_anchor
     33     9      24 27.272727 0.878194 -67.629589 -0.676296   -4.253749  54.177274  -23.134377       24        9 XAUUSD baseline_swing0.09_anchor0.14
