interval,sl_buffer_pts,n_signals,trades,win_rate,expectancy_R,profit_factor,max_dd,return,final_equity,long_trades,short_trades,tp_exits,stop_exits,params,cost_model
5m,2.0,37,37,0.13513513513513514,-0.15100739316476738,0.5792519838041141,-0.07802801577124702,-0.05608097542570212,9439.190245742979,25,12,4,24,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 2.0, 'max_hold_bars': 600}",full
5m,2.0,37,37,0.1891891891891892,-0.07593052609652697,0.738510040403128,-0.05760946407106185,-0.029518775824144305,9704.812241758556,25,12,4,24,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 2.0, 'max_hold_bars': 600}",tv_light
5m,3.0,30,30,0.23333333333333334,-0.0874265445074518,0.7410598896700556,-0.049666551534294556,-0.027598976586653556,9724.010234133464,20,10,6,15,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 3.0, 'max_hold_bars': 600}",full
5m,3.0,30,30,0.26666666666666666,-0.017119795827442184,0.9258305958371806,-0.047881602927563556,-0.006920578906166375,9930.794210938337,20,10,6,15,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 3.0, 'max_hold_bars': 600}",tv_light
5m,4.0,24,24,0.2916666666666667,0.009640093615393234,1.008529415842048,-0.03886786808174795,0.0006749031501513958,10006.749031501513,15,9,6,9,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 4.0, 'max_hold_bars': 600}",full
5m,4.0,24,24,0.3333333333333333,0.07723820225058287,1.2424586182646649,-0.03785241707775867,0.016977250589734094,10169.772505897341,15,9,6,9,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 4.0, 'max_hold_bars': 600}",tv_light
5m,5.0,23,23,0.30434782608695654,0.03471055412148987,1.087490740037988,-0.03878992903698488,0.006406943819000643,10064.069438190007,15,8,7,7,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 5.0, 'max_hold_bars': 600}",full
5m,5.0,23,23,0.34782608695652173,0.10095333155101545,1.3354198995084992,-0.03777799110831177,0.021789864753078758,10217.898647530787,15,8,7,7,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 5.0, 'max_hold_bars': 600}",tv_light
15m,2.0,19,19,0.2631578947368421,0.04904233175469923,1.1029406216428375,-0.03820955303059737,0.007645311817874978,10076.45311817875,13,6,2,8,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 2.0, 'max_hold_bars': 200}",full
15m,2.0,19,19,0.2631578947368421,0.10996043802325464,1.2867339134367992,-0.03717852143000081,0.01930322119824357,10193.032211982436,13,6,2,8,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 2.0, 'max_hold_bars': 200}",tv_light
15m,3.0,18,18,0.2777777777777778,0.062164193765396836,1.1331236983918043,-0.038133666431533,0.009566425704844006,10095.66425704844,12,6,2,7,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 3.0, 'max_hold_bars': 200}",full
15m,3.0,18,18,0.2777777777777778,0.12097986232859251,1.3076592264862437,-0.03710626281971436,0.020239310290157242,10202.393102901573,12,6,2,7,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 3.0, 'max_hold_bars': 200}",tv_light
15m,4.0,17,17,0.35294117647058826,0.10859116252351546,1.262293769598956,-0.038058405254623874,0.01697859276718039,10169.785927671805,11,6,3,5,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 4.0, 'max_hold_bars': 200}",full
15m,4.0,17,17,0.35294117647058826,0.16503922801059767,1.4417665326953593,-0.03703460536105837,0.026707680813231605,10267.076808132317,11,6,3,5,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 4.0, 'max_hold_bars': 200}",tv_light
15m,5.0,17,17,0.35294117647058826,0.10019776451513951,1.2377505053878723,-0.037983761800156064,0.01555416944926269,10155.541694492627,11,6,3,5,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 5.0, 'max_hold_bars': 200}",full
15m,5.0,17,17,0.35294117647058826,0.15642418865498922,1.4126442439383964,-0.036963541583422424,0.025234396789986846,10252.34396789987,11,6,3,5,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 5.0, 'max_hold_bars': 200}",tv_light
1h,2.0,18,18,0.5,0.17960657030563087,1.561012401924722,-0.030769588432817466,0.03100506420537741,10310.050642053773,8,10,7,5,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 2.0, 'max_hold_bars': 72}",full
1h,2.0,18,18,0.5,0.24787915453018694,1.8505380615247313,-0.03035664267102585,0.04365410453632679,10436.541045363268,8,10,7,5,"{'swing_len': 3, 'entry_level': 0.6, 'sl_level': 0.7, 'sl_buffer_pts': 2.0, 'max_hold_bars': 72}",tv_light
