interval,sl_buffer_pts,tp,capital,total_trades,wins,losses,flats,win_rate,expectancy_R,profit_factor,max_drawdown,total_return,final_equity,net_pnl,long_trades,short_trades,tp_exits,stop_exits
5m,2.0,anchor,10000.0,37,5,32,0,0.13513513513513514,-0.15100739316476738,0.5792519838041141,-0.07802801577124702,-0.05608097542570212,9439.190245742979,-560.8097542570213,25,12,4,24
5m,2.0,3R,10000.0,36,5,31,0,0.1388888888888889,-0.22833140088368792,0.3744123291042488,-0.07970022440279463,-0.07970022440279467,9202.997755972054,-797.0022440279463,24,12,5,23
5m,2.0,5R,10000.0,32,5,27,0,0.15625,-0.14231784534781444,0.6221369516155888,-0.06602021616517814,-0.0460573302693148,9539.426697306852,-460.57330269314843,22,10,3,21
5m,3.0,anchor,10000.0,30,7,23,0,0.23333333333333334,-0.0874265445074518,0.7410598896700556,-0.049666551534294556,-0.027598976586653556,9724.010234133464,-275.9897658665359,20,10,6,15
5m,3.0,3R,10000.0,24,6,18,0,0.25,-0.16589185433733045,0.5686314054554692,-0.04896725723439992,-0.03979503720998312,9602.049627900169,-397.95037209983093,16,8,4,12
5m,3.0,5R,10000.0,21,5,16,0,0.23809523809523808,-0.02796684103018115,0.9117419028057792,-0.04896725723440032,-0.007368951215134589,9926.310487848654,-73.68951215134621,15,6,2,9
5m,4.0,anchor,10000.0,24,7,17,0,0.2916666666666667,0.009640093615393234,1.008529415842048,-0.03886786808174795,0.0006749031501513958,10006.749031501513,6.749031501512945,15,9,6,9
5m,4.0,3R,10000.0,17,5,12,0,0.29411764705882354,-0.03854877505560597,0.8822681872291224,-0.03886786808174753,-0.007228502946158177,9927.714970538418,-72.28502946158187,12,5,3,5
5m,4.0,5R,10000.0,17,5,12,0,0.29411764705882354,0.10220665212450572,1.2569912853836087,-0.03886786808174755,0.016038330116698418,10160.383301166983,160.38330116698307,12,5,2,5
5m,5.0,anchor,10000.0,23,7,16,0,0.30434782608695654,0.03471055412148987,1.087490740037988,-0.03878992903698488,0.006406943819000643,10064.069438190007,64.06943819000662,15,8,7,7
5m,5.0,3R,10000.0,17,5,12,0,0.29411764705882354,-0.033220451024022275,0.8980001596611612,-0.0387899290369852,-0.0063423353232545665,9936.576646767455,-63.423353232545196,12,5,3,5
5m,5.0,5R,10000.0,17,5,12,0,0.29411764705882354,0.1059109646256831,1.263639185297997,-0.03878992903698536,0.016655379108520885,10166.553791085209,166.553791085209,12,5,2,5
15m,2.0,anchor,10000.0,19,5,14,0,0.2631578947368421,0.04904233175469923,1.1029406216428375,-0.03820955303059737,0.007645311817874978,10076.45311817875,76.45311817874972,13,6,2,8
15m,2.0,3R,10000.0,19,5,14,0,0.2631578947368421,-0.11613782663487794,0.6909192234320116,-0.038209553030597365,-0.02252837882470482,9774.716211752951,-225.2837882470485,13,6,3,8
15m,2.0,5R,10000.0,19,5,14,0,0.2631578947368421,0.0350289008679199,1.0698190526059004,-0.038209553030597525,0.005180728263089351,10051.807282630894,51.807282630894406,13,6,3,8
15m,3.0,anchor,10000.0,18,5,13,0,0.2777777777777778,0.062164193765396836,1.1331236983918043,-0.038133666431533,0.009566425704844006,10095.66425704844,95.66425704844005,12,6,2,7
15m,3.0,3R,10000.0,18,5,13,0,0.2777777777777778,-0.09911515338493883,0.7394409341372473,-0.03813366643153309,-0.018395590740626133,9816.044092593738,-183.95590740626176,12,6,3,7
15m,3.0,5R,10000.0,18,5,13,0,0.2777777777777778,0.035353629833108094,1.0683185899222658,-0.03813366643153288,0.0048953389993300345,10048.9533899933,48.953389993299425,12,6,2,7
15m,4.0,anchor,10000.0,17,6,11,0,0.35294117647058826,0.10859116252351546,1.262293769598956,-0.038058405254623874,0.01697859276718039,10169.785927671805,169.78592767180453,11,6,3,5
15m,4.0,3R,10000.0,17,6,11,0,0.35294117647058826,-0.037904423945239414,0.8878645147712174,-0.03805840525462374,-0.007142142721494937,9928.57857278505,-71.42142721494929,11,6,4,5
15m,4.0,5R,10000.0,17,6,11,0,0.35294117647058826,0.11343379289432598,1.276806706039076,-0.03805840525462359,0.017950957521025268,10179.509575210253,179.5095752102534,11,6,2,5
