rank,strategy,symbol,mode,oos_total_trades,oos_win_rate,oos_expectancy_R,oos_max_drawdown,oos_sharpe_ratio,oos_profit_factor,oos_total_return
1,rsi_divergence,BTCUSDT,walk_forward,45,0.6222222222222222,0.12918176724236907,-0.052186861133539014,1.7797201393760296,1.2927753624496765,0.05739410403734335
2,rsi_divergence,PAXGUSDT,walk_forward,32,0.59375,0.08398224312012449,-0.029089526118298507,1.4676535363681422,1.3348091673121567,0.02653106024687779
3,grid_trading,PAXGUSDT,holdout_special,20,0.45,0.07642814742358231,-0.013299008077030598,1.5561667570556326,18.30020742672113,0.016225344937182307
4,statistical_arbitrage,PAXGUSDT/BTCUSDT,holdout_special,20,0.5,0.008774485536076081,-0.003577632549186307,1.1236898460504308,1.249481667975795,0.0017472353572840493
5,cointegration_pairs,PAXGUSDT/BTCUSDT,holdout_special,12,0.4166666666666667,0.0034478935838660415,-0.0008341402503082085,1.2815256942270072,1.2199771094982934,0.00041243740841956367
6,news_event,PAXGUSDT,walk_forward,0,0.0,0.0,0.0,0.0,0.0,0.0
7,news_event,BTCUSDT,walk_forward,0,0.0,0.0,0.0,0.0,0.0,0.0
8,market_making,PAXGUSDT,holdout_special,590,0.1711864406779661,-0.0004164225380373355,-0.01575538709653483,-0.4162062519174787,0.8945774522066464,-0.0024568929744195334
9,volume_confirmed_reversal,BTCUSDT,walk_forward,26,0.6153846153846154,-0.02899779306717687,-0.05277608832990058,-0.4084807746542799,0.9006229699444128,-0.008082055285046574
10,vwap_twap,PAXGUSDT,holdout_special,23,0.0,-0.058585251506298126,-0.013388707200070167,-16.920708501902315,0.0,-0.013388707200070127
11,regime_momentum,BTCUSDT,walk_forward,43,0.3953488372093023,-0.0779586502350208,-0.07036104235597358,-0.824684081894916,0.8634071928050764,-0.036086699194586624
12,regime_momentum,PAXGUSDT,walk_forward,45,0.4444444444444444,-0.08322984161309836,-0.07987740922902306,-1.2432063483848905,0.8137237341830846,-0.038507301674385985
13,volatility_squeeze,BTCUSDT,walk_forward,28,0.39285714285714285,-0.16884602733367574,-0.10521116389140185,-1.7442616337296495,0.7173408415269176,-0.0477363380451814
14,smc_fvg_ob,BTCUSDT,walk_forward,73,0.589041095890411,-0.17713174016872646,-0.12599259499019644,-3.790963738611495,0.5925866792270681,-0.1233286430040198
15,mtf_confluence,PAXGUSDT,walk_forward,34,0.3235294117647059,-0.19802994234948113,-0.08984010382793148,-3.1101952731503317,0.5188490792305377,-0.06593195578813682
16,trend_following,PAXGUSDT,walk_forward,36,0.3333333333333333,-0.20193167231238565,-0.07747849753568498,-3.501574879435848,0.512117708106407,-0.07095390127248469
17,mean_reversion,BTCUSDT,walk_forward,93,0.40860215053763443,-0.2540615467547622,-0.2249458790626267,-4.752966467793423,0.505400560957396,-0.21310293286199744
18,rebalance_arbitrage,PAXGUSDT,walk_forward,6,0.5,-0.2548714911463659,-0.01956980148633838,-2.125818933982625,0.31717358708390553,-0.015282350822515611
19,momentum_vol_filter,PAXGUSDT,walk_forward,59,0.3898305084745763,-0.26675008996534233,-0.15586481716913805,-5.749189638240967,0.41361027315735877,-0.14679475286346078
20,smc_fvg_ob,PAXGUSDT,walk_forward,78,0.41025641025641024,-0.26802730794143403,-0.19403235149893142,-6.342313960213453,0.3519788359715052,-0.19025004796399303
21,adaptive_mean_reversion,BTCUSDT,walk_forward,100,0.4,-0.26896749194130387,-0.2461910488749714,-6.237526104315377,0.476957414324025,-0.23842964655185428
22,volatility_squeeze,PAXGUSDT,walk_forward,19,0.2631578947368421,-0.27045007574658764,-0.05680053635248938,-3.874690389039417,0.38606252979053485,-0.050477412792968246
23,scalping,PAXGUSDT,walk_forward,51,0.0,-0.28404493815313553,-0.13505170998014182,-24.640645520587253,0.0,-0.13505170998014182
24,scalping,BTCUSDT,walk_forward,70,0.0,-0.28958777101125505,-0.18374977135063264,-39.569390772632126,0.0,-0.18374977135063264
25,volume_confirmed_reversal,PAXGUSDT,walk_forward,35,0.2857142857142857,-0.3014746014435208,-0.10071624764075077,-5.3569476243637055,0.28174453473985334,-0.10071624764075082
26,mean_reversion,PAXGUSDT,walk_forward,122,0.26229508196721313,-0.3182158867552821,-0.32405651786664047,-11.584713552820169,0.23590156402587745,-0.32309780141551614
27,ensemble_voting,PAXGUSDT,walk_forward,59,0.23728813559322035,-0.33792106443338643,-0.18861595163008069,-7.512593058038193,0.30139692760843445,-0.18184256819112632
28,regime_adaptive,PAXGUSDT,walk_forward,100,0.25,-0.3394498771591219,-0.28927266707031724,-10.659005612649963,0.19465020347950232,-0.2889829399362217
29,adaptive_mean_reversion,PAXGUSDT,walk_forward,132,0.25,-0.3407253992701687,-0.3644421800926667,-11.254232080795852,0.18430789159391145,-0.3635407441683749
30,ensemble_voting,BTCUSDT,walk_forward,48,0.2916666666666667,-0.34806807447603116,-0.15589379201608516,-4.745226676921687,0.46365064913511667,-0.15589379201608522
31,trend_following,BTCUSDT,walk_forward,22,0.3181818181818182,-0.3631074485281162,-0.08959783345993619,-3.1183594225034943,0.45277773335559407,-0.07794309203882643
32,mtf_confluence,BTCUSDT,walk_forward,25,0.28,-0.38780593844047373,-0.10532483864287588,-3.373738960204419,0.4648928004251479,-0.09387143041875556
33,regime_adaptive,BTCUSDT,walk_forward,106,0.32075471698113206,-0.41508648051162983,-0.3605232830745048,-10.024248161147463,0.3091008910632053,-0.35839160090701816
34,momentum_vol_filter,BTCUSDT,walk_forward,51,0.2549019607843137,-0.542694189839187,-0.25231066582352896,-7.100845173812098,0.31903316031620155,-0.244052855695284
35,rebalance_arbitrage,BTCUSDT,walk_forward,6,0.16666666666666666,-0.76815713595333,-0.051779335827261096,-3.8622996149065068,0.12444310936472266,-0.0453357542760765
